playerName,team,rating,region,playerStatistics,agent,playerCategory
jenn,43,0.99,Americas,"{'average_combat_score': '190.0', 'kill_deaths': '1.00', 'kill_assists_survived_traded': '60%', 'average_damage_per_round': '118.5', 'kills_per_round': '0.74', 'assists_per_round': '0.16', 'first_kills_per_round': '0.00', 'first_deaths_per_round': '0.05', 'headshot_percentage': '19%', 'clutch_success_percentage': '10%'}","['sova', 'gekko']",vct-game-changer
cbui,PP,0.98,Americas,"{'average_combat_score': '182.9', 'kill_deaths': '0.97', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '120.0', 'kills_per_round': '0.64', 'assists_per_round': '0.41', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.06', 'headshot_percentage': '22%', 'clutch_success_percentage': '15%'}","['brimstone', 'omen', 'gekko']",vct-game-changer
valusia,Soli,0.96,Americas,"{'average_combat_score': '172.8', 'kill_deaths': '0.93', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '112.9', 'kills_per_round': '0.64', 'assists_per_round': '0.33', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.08', 'headshot_percentage': '25%', 'clutch_success_percentage': '17%'}","['fade', 'breach']",vct-game-changer
Slandy,RF.GC,0.96,Americas,"{'average_combat_score': '174.6', 'kill_deaths': '0.90', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '115.9', 'kills_per_round': '0.61', 'assists_per_round': '0.35', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.07', 'headshot_percentage': '24%', 'clutch_success_percentage': '11%'}","['breach', 'brimstone', 'omen']",vct-game-changer
ximei,107,0.96,Americas,"{'average_combat_score': '197.8', 'kill_deaths': '0.83', 'kill_assists_survived_traded': '60%', 'average_damage_per_round': '131.6', 'kills_per_round': '0.66', 'assists_per_round': '0.19', 'first_kills_per_round': '0.03', 'first_deaths_per_round': '0.07', 'headshot_percentage': '22%', 'clutch_success_percentage': '9%'}","['sova', 'viper', 'gekko']",vct-game-changer
habibti,MESO,0.95,Americas,"{'average_combat_score': '209.3', 'kill_deaths': '0.94', 'kill_assists_survived_traded': '65%', 'average_damage_per_round': '139.0', 'kills_per_round': '0.74', 'assists_per_round': '0.23', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.12', 'headshot_percentage': '31%', 'clutch_success_percentage': '11%'}","['sova', 'chamber', 'skye']",vct-game-changer
k1m,RTL,0.95,Americas,"{'average_combat_score': '203.9', 'kill_deaths': '0.86', 'kill_assists_survived_traded': '66%', 'average_damage_per_round': '134.9', 'kills_per_round': '0.68', 'assists_per_round': '0.26', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.09', 'headshot_percentage': '23%', 'clutch_success_percentage': '5%'}","['cypher', 'killjoy', 'sova']",vct-game-changer
k0rupt,NA,0.95,Americas,"{'average_combat_score': '192.7', 'kill_deaths': '0.92', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '133.3', 'kills_per_round': '0.67', 'assists_per_round': '0.28', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.10', 'headshot_percentage': '29%', 'clutch_success_percentage': '16%'}","['gekko', 'breach', 'fade']",vct-game-changer
152,C4C,0.95,Americas,"{'average_combat_score': '194.8', 'kill_deaths': '0.76', 'kill_assists_survived_traded': '59%', 'average_damage_per_round': '129.6', 'kills_per_round': '0.62', 'assists_per_round': '0.25', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.11', 'headshot_percentage': '15%', 'clutch_success_percentage': '6%'}","['breach', 'kayo', 'raze']",vct-game-changer
xann,KS,0.95,Americas,"{'average_combat_score': '236.6', 'kill_deaths': '0.96', 'kill_assists_survived_traded': '67%', 'average_damage_per_round': '156.9', 'kills_per_round': '0.79', 'assists_per_round': '0.21', 'first_kills_per_round': '0.21', 'first_deaths_per_round': '0.22', 'headshot_percentage': '28%', 'clutch_success_percentage': '10%'}","['jett', 'raze', 'reyna']",vct-game-changer
korosu,YFP,0.95,Americas,"{'average_combat_score': '201.6', 'kill_deaths': '0.97', 'kill_assists_survived_traded': '68%', 'average_damage_per_round': '140.7', 'kills_per_round': '0.73', 'assists_per_round': '0.14', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.13', 'headshot_percentage': '33%', 'clutch_success_percentage': '31%'}","['cypher', 'killjoy', 'yoru']",vct-game-changer
clara,Skyl,0.95,Americas,"{'average_combat_score': '215.8', 'kill_deaths': '0.78', 'kill_assists_survived_traded': '56%', 'average_damage_per_round': '145.1', 'kills_per_round': '0.71', 'assists_per_round': '0.17', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.15', 'headshot_percentage': '33%', 'clutch_success_percentage': '25%'}","['brimstone', 'omen', 'astra']",vct-game-changer
kim,31,0.94,Americas,"{'average_combat_score': '233.5', 'kill_deaths': '0.86', 'kill_assists_survived_traded': '58%', 'average_damage_per_round': '146.8', 'kills_per_round': '0.77', 'assists_per_round': '0.19', 'first_kills_per_round': '0.16', 'first_deaths_per_round': '0.10', 'headshot_percentage': '48%', 'clutch_success_percentage': '25%'}","['skye', 'cypher']",vct-game-changer
m1yu,BZK.N,0.94,Americas,"{'average_combat_score': '196.0', 'kill_deaths': '0.90', 'kill_assists_survived_traded': '59%', 'average_damage_per_round': '138.7', 'kills_per_round': '0.71', 'assists_per_round': '0.22', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.07', 'headshot_percentage': '34%', 'clutch_success_percentage': '14%'}","['viper', 'chamber', 'cypher']",vct-game-changer
