average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
177.3,0.78,63%,120.4,0.62,0.17,0.11,0.18,31%,16%
159.6,0.76,62%,102.9,0.57,0.21,0.06,0.10,37%,10%
176.0,0.82,57%,114.4,0.67,0.17,0.13,0.11,25%,29%
214.5,0.80,64%,144.8,0.71,0.16,0.21,0.22,21%,
175.0,0.66,52%,113.3,0.61,0.06,0.00,0.16,26%,7%
185.0,0.59,53%,131.7,0.53,0.17,0.03,0.03,29%,
161.5,0.66,63%,116.9,0.53,0.28,0.07,0.05,34%,29%
194.8,0.77,60%,126.8,0.66,0.15,0.13,0.17,25%,19%
200.8,0.83,64%,132.3,0.64,0.18,0.21,0.25,20%,
214.0,0.86,63%,139.8,0.70,0.11,0.17,0.22,28%,
179.5,0.82,71%,113.8,0.66,0.27,0.05,0.05,21%,20%
187.5,0.76,57%,105.3,0.73,0.17,0.03,0.03,35%,10%
167.9,0.66,56%,113.4,0.57,0.22,0.06,0.06,29%,10%
159.8,0.71,63%,111.2,0.56,0.27,0.05,0.09,25%,15%
163.0,0.71,55%,105.3,0.59,0.14,0.07,0.11,23%,5%
162.9,0.70,60%,113.0,0.56,0.17,0.06,0.12,30%,8%
180.9,0.75,57%,127.5,0.65,0.13,0.14,0.20,30%,7%
145.8,0.68,61%,97.1,0.51,0.28,0.05,0.08,32%,11%
170.1,0.74,65%,113.5,0.61,0.34,0.06,0.14,32%,9%
188.6,0.78,56%,127.8,0.67,0.12,0.12,0.21,33%,16%
160.6,0.64,58%,114.8,0.55,0.25,0.05,0.05,27%,11%
177.2,0.72,64%,117.8,0.61,0.27,0.06,0.08,21%,5%
164.0,0.76,63%,106.6,0.59,0.17,0.15,0.17,37%,5%
187.0,0.82,48%,122.3,0.68,0.10,0.10,0.20,28%,25%
165.0,0.66,63%,113.2,0.57,0.28,0.07,0.13,38%,11%
167.5,0.61,56%,115.9,0.56,0.21,0.02,0.11,36%,10%
188.0,0.72,70%,119.7,0.61,0.16,0.06,0.16,18%,10%
179.4,0.69,64%,114.5,0.59,0.36,0.08,0.14,26%,42%
160.3,0.63,56%,111.0,0.53,0.39,0.06,0.13,28%,10%
178.1,0.73,59%,119.3,0.61,0.21,0.08,0.17,34%,26%
