playerName,team,rating,region,playerCategory,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agent_1,agent_2,agent_3
Shrey,AVT,0.73,Pacific,vct-challengers,166.0,0.65,53%,109.1,0.51,0.19,0.09,0.23,34%,,cypher,killjoy,
ShreyUwU,Waff,0.78,Americas,vct-game-changer,160.6,0.64,58%,114.8,0.55,0.25,0.05,0.05,27%,11%,viper,gekko,sova
Shuffle,RIZO,0.79,EMEA,vct-challengers,168.5,0.75,60%,106.9,0.60,0.26,0.06,0.03,53%,,omen,breach,
Shura,axol,0.71,EMEA,vct-game-changer,179.9,0.76,55%,122.1,0.62,0.16,0.15,0.28,18%,,jett,raze,chamber
ShuXz,33,0.49,Pacific,vct-challengers,148.0,0.50,61%,112.8,0.48,0.15,0.06,0.21,28%,,reyna,raze,
shy,ESC,0.96,EMEA,vct-challengers,206.9,1.00,65%,135.1,0.76,0.14,0.15,0.17,24%,12%,raze,jett,cypher
sia,SK.N,0.81,EMEA,vct-game-changer,166.4,0.80,64%,113.8,0.59,0.23,0.08,0.10,36%,18%,viper,killjoy,sova
Sidra,EMUs,0.72,EMEA,vct-game-changer,166.3,0.74,64%,112.8,0.58,0.18,0.11,0.18,27%,,raze,jett,omen
Siesta,61,0.56,Pacific,vct-challengers,151.7,0.56,59%,108.8,0.51,0.28,0.13,0.11,22%,,viper,raze,phoenix
sihw,LONE,0.85,EMEA,vct-challengers,170.8,0.84,63%,117.6,0.64,0.21,0.08,0.15,35%,19%,omen,viper,phoenix
silenttt,ELV,01.01,EMEA,vct-challengers,193.5,0.97,72%,127.0,0.68,0.28,0.07,0.07,28%,15%,sova,viper,gekko
silenx,WU,0.91,Americas,vct-challengers,183.8,0.88,69%,120.9,0.65,0.31,0.10,0.09,35%,15%,cypher,killjoy,viper
Silky,31,0.87,Americas,vct-challengers,182.0,0.69,55%,126.8,0.58,0.16,0.06,0.06,16%,14%,jett,,
sillydomi,axol,01.09,EMEA,vct-game-changer,233.8,01.08,74%,147.7,0.83,0.37,0.11,0.10,39%,13%,brimstone,omen,clove
sillykitty53453,Thri,0.94,Americas,vct-game-changer,216.4,0.97,72%,138.2,0.75,0.25,0.12,0.14,33%,9%,cypher,deadlock,killjoy
Silon,39,1.00,Pacific,vct-challengers,232.5,01.03,79%,157.1,0.85,0.18,0.18,0.10,21%,,jett,reyna,
Silon,46,1.23,Pacific,vct-challengers,261.5,1.13,70%,174.5,0.93,0.24,0.11,0.24,20%,50%,raze,,
Símplex,dORA,0.72,EMEA,vct-challengers,170.5,0.62,55%,110.3,0.50,0.38,0.05,0.05,21%,17%,cypher,kayo,
SimteK,MRC,0.59,Americas,vct-challengers,125.0,0.48,47%,82.0,0.39,0.18,0.08,0.13,33%,,omen,viper,
Simulate,LAG,1.15,Americas,vct-challengers,238.5,1.14,65%,149.5,0.87,0.11,0.07,0.13,31%,33%,raze,,
sinommi,20,0.72,EMEA,vct-game-changer,173.0,0.73,60%,123.1,0.55,0.25,0.00,0.15,35%,,cypher,,
SinS,DOMS,0.67,Pacific,vct-challengers,142.0,0.63,45%,101.5,0.53,0.15,0.05,0.09,27%,15%,chamber,fade,omen
Siraww,XIA,0.98,Pacific,vct-challengers,189.8,0.95,69%,129.2,0.68,0.29,0.05,0.07,32%,11%,sova,skye,fade
sislanamis,33,0.45,EMEA,vct-game-changer,114.5,0.39,55%,80.4,0.33,0.15,0.00,0.15,10%,,sova,skye,
SiuFatBB,WOL,,China,vct-international,167.4,1.10,,113.2,0.62,0.36,0.02,0.03,,,breach,gekko,viper
sixelaoen,CLWN,0.72,Pacific,vct-challengers,152.6,0.64,59%,101.7,0.52,0.23,0.05,0.10,29%,7%,viper,harbor,kayo
sizo,38,0.70,EMEA,vct-challengers,165.5,0.56,61%,115.6,0.47,0.21,0.08,0.16,17%,,raze,jett,
skar,Wild,0.38,EMEA,vct-game-changer,130.5,0.39,41%,98.5,0.38,0.14,0.03,0.28,25%,,cypher,killjoy,
Skerp,35,0.51,Pacific,vct-challengers,132.5,0.57,57%,87.5,0.49,0.03,0.17,0.20,16%,,raze,jett,
skillZ,RVNT,0.86,Pacific,vct-challengers,163.2,0.86,70%,109.3,0.57,0.25,0.07,0.07,26%,14%,killjoy,cypher,viper
SkRossi,RVNT,01.04,Pacific,vct-challengers,208.4,01.07,71%,134.9,0.73,0.25,0.09,0.09,27%,10%,sova,skye,chamber
skuba,OXG,1.10,Americas,vct-challengers,196.2,1.13,76%,123.8,0.72,0.36,0.07,0.07,28%,16%,omen,astra,brimstone
Skygi,SZK,0.32,EMEA,vct-challengers,83.0,0.28,42%,55.2,0.24,0.24,0.06,0.15,21%,,breach,,
SkyIsBlue,MGLZ,0.99,Pacific,vct-challengers,227.0,01.07,75%,164.0,0.78,0.35,0.10,0.13,22%,,neon,deadlock,
skylen,SUP,01.07,EMEA,vct-challengers,199.6,01.04,76%,129.9,0.69,0.43,0.07,0.04,34%,24%,kayo,deadlock,skye
skypzz,HOF,0.66,EMEA,vct-challengers,148.3,0.67,58%,105.0,0.54,0.18,0.04,0.15,31%,7%,killjoy,omen,cypher
SkyyZ,34,0.72,Americas,vct-challengers,170.0,0.66,65%,116.9,0.56,0.18,0.09,0.15,24%,25%,cypher,killjoy,
Slandy,RF.GC,0.96,Americas,vct-game-changer,174.6,0.90,72%,115.9,0.61,0.35,0.06,0.07,24%,11%,breach,brimstone,omen
slash,THA,0.75,Pacific,vct-challengers,183.7,0.76,63%,132.7,0.60,0.22,0.15,0.22,19%,14%,jett,raze,
slathom999,GEEK,1.26,Pacific,vct-challengers,241.9,1.26,75%,162.1,0.88,0.24,0.06,0.06,34%,21%,sova,fade,
Slaxx,FUZO,1.10,EMEA,vct-challengers,220.3,01.01,65%,137.4,0.76,0.22,0.05,0.06,23%,7%,viper,sova,breach
sleepy,33,0.42,Americas,vct-game-changer,106.0,0.35,45%,74.2,0.33,0.24,0.06,0.12,16%,13%,omen,viper,
sleepy,CTRL,0.84,EMEA,vct-game-changer,191.8,0.77,58%,122.9,0.67,0.14,0.07,0.07,34%,,astra,killjoy,omen
slender,FXL,0.80,EMEA,vct-challengers,171.6,0.77,61%,117.4,0.58,0.16,0.11,0.08,24%,15%,viper,killjoy,
Slewpy,YDZ.GC,0.56,Americas,vct-game-changer,123.8,0.48,56%,77.8,0.41,0.32,0.01,0.07,27%,18%,omen,astra,
Sliicyy,char,0.76,Americas,vct-game-changer,218.5,0.83,66%,137.7,0.75,0.25,0.23,0.27,25%,25%,raze,neon,
Sliicyy,char,01.04,EMEA,vct-game-changer,204.7,0.99,72%,129.5,0.71,0.48,0.09,0.10,27%,24%,yoru,breach,kayo
slowly,ZYG,,China,vct-challengers,280.8,1.54,,172.3,01.04,0.16,0.20,0.12,,,yoru,omen,
Slug,31,0.63,Americas,vct-game-changer,140.0,0.52,45%,88.0,0.45,0.19,0.03,0.10,24%,,skye,gekko,
Sly,20,0.23,Pacific,vct-game-changer,86.0,0.33,50%,68.4,0.30,0.05,0.00,0.15,23%,,jett,,
SLY,AVN,0.48,Pacific,vct-challengers,111.2,0.46,55%,81.9,0.38,0.18,0.02,0.13,31%,14%,viper,harbor,omen
Sm1le,CLS,0.36,EMEA,vct-challengers,131.5,0.45,43%,93.6,0.43,0.20,0.14,0.49,30%,,jett,,
